doc,name,size_bytes,bucket,ref_total,ref_locks,ref_locks_count,ref_scripts,ref_scripts_count,ref_tests,ref_tests_count,ref_top,ref_top_count,disposition
docs/DETERMINEX_UNIFIED_PRODUCT_UX_FINAL_STATE.md,DETERMINEX_UNIFIED_PRODUCT_UX_FINAL_STATE.md,1621,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIFIED_STATUS_SURFACE_AND_EVIDENCE_GRAPH.md,DETERMINEX_UNIFIED_STATUS_SURFACE_AND_EVIDENCE_GRAPH.md,3489,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIFIED_USER_LEVELS_AND_TEACHING_WINDOWS.md,DETERMINEX_UNIFIED_USER_LEVELS_AND_TEACHING_WINDOWS.md,1182,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_UNIVERSAL_100_SUPPORT_MAP.md,DETERMINEX_UNIVERSAL_100_SUPPORT_MAP.md,3256,MISC,2,locks/sentinel/DETERMINEX_UNIVERSAL_100_SUPPORT_MAP_LOCK_001.json,1,scripts/status/universal_100_data_plane.py,1,,0,,0,REVIEW
docs/DETERMINEX_WORKSPACE_EVIDENCE_RECONCILIATION_002.md,DETERMINEX_WORKSPACE_EVIDENCE_RECONCILIATION_002.md,1293,PER_RECONCILE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_APPROVAL_REPLAY_AND_STALENESS.md,CLAUDE_APPROVAL_REPLAY_AND_STALENESS.md,1939,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_AUTH_005_READY_AUTHORIZED_LANGUAGE.md,CLAUDE_AUTH_005_READY_AUTHORIZED_LANGUAGE.md,2473,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_AUTHORITY_LEAK_REMEDIATION_FINAL_STATE.md,CLAUDE_AUTHORITY_LEAK_REMEDIATION_FINAL_STATE.md,2738,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_CONFIG_ROOT_ALLOWLIST.md,CLAUDE_CONFIG_ROOT_ALLOWLIST.md,1379,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_FRONTEND_AUTHORITY_VISUAL_AUDIT.md,CLAUDE_FRONTEND_AUTHORITY_VISUAL_AUDIT.md,1593,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_IDE_HYGIENE_FINAL_STATE.md,CLAUDE_IDE_HYGIENE_FINAL_STATE.md,1633,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_LANE_LIVE_MODEL_READY_FINAL_STATE.md,CLAUDE_LANE_LIVE_MODEL_READY_FINAL_STATE.md,778,PER_FINAL_STATE,1,locks/sentinel/CLAUDE_LANE_LIVE_MODEL_READY_FINAL_STATE_LOCK_001.json,1,,0,,0,,0,CONSOLIDATE
docs/CLAUDE_OPERATOR_IDENTITY_BOUNDING.md,CLAUDE_OPERATOR_IDENTITY_BOUNDING.md,2147,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_PRE_APPLY_CONFIRMATION_PANEL.md,CLAUDE_PRE_APPLY_CONFIRMATION_PANEL.md,1755,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_PROGRAMBENCH_HANDOFF.md,CLAUDE_PROGRAMBENCH_HANDOFF.md,2576,PER_HANDOFF,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_PROOF_BEFORE_MUTATION_DEMO.md,CLAUDE_PROOF_BEFORE_MUTATION_DEMO.md,1962,PER_CLAUDE_LANE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLAUDE_PUBLIC_CLAIMS_LEDGER.md,CLAUDE_PUBLIC_CLAIMS_LEDGER.md,2486,PER_CLAUDE_LANE,1,,0,scripts/repair/public_claims_ledger.py,1,,0,,0,REVIEW
docs/CLAUDE_REAL_MODEL_VERIFIER_READY_FINAL_STATE.md,CLAUDE_REAL_MODEL_VERIFIER_READY_FINAL_STATE.md,2589,PER_FINAL_STATE,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CLOAK_THREAT_MODEL.md,CLOAK_THREAT_MODEL.md,13774,POLICY,3,locks/sentinel/CLOAK_THREAT_MODEL_LOCK_001.json,1,scripts/intake/verifier_coverage_matrix.py,1,,0,CHANGELOG.md,1,KEEP
docs/COMPANION_CLOAK_SAFETY.md,COMPANION_CLOAK_SAFETY.md,8571,COMPANION,0,,0,,0,,0,,0,KEEP
docs/COMPANION_FLOW_AI.md,COMPANION_FLOW_AI.md,9015,COMPANION,0,,0,,0,,0,,0,KEEP
docs/COMPANION_MOA_MOE.md,COMPANION_MOA_MOE.md,10715,COMPANION,0,,0,,0,,0,,0,KEEP
docs/COMPANION_VIBE_CODING.md,COMPANION_VIBE_CODING.md,7060,COMPANION,0,,0,,0,,0,,0,KEEP
docs/CONTROL_MATRIX.md,CONTROL_MATRIX.md,680,POLICY,1,locks/sentinel/SUPPLY_CHAIN_LOCK_001.json,1,,0,,0,,0,KEEP
docs/CORPUS_ELIGIBILITY_REPAIR_TRACES.md,CORPUS_ELIGIBILITY_REPAIR_TRACES.md,2878,PER_TRACE_FLOW,1,locks/sentinel/CORPUS_ELIGIBILITY_REPAIR_TRACE_GUARD_LOCK_001.json,1,,0,,0,,0,REVIEW
docs/CORPUS_LICENSE_POLICY.md,CORPUS_LICENSE_POLICY.md,7293,POLICY,1,locks/sentinel/SUPPLY_CHAIN_LOCK_001.json,1,,0,,0,,0,KEEP
docs/CORPUS_SCHEMA.md,CORPUS_SCHEMA.md,3948,POLICY,0,,0,,0,,0,,0,KEEP
docs/DATA_GOVERNANCE.md,DATA_GOVERNANCE.md,567,POLICY,0,,0,,0,,0,,0,KEEP
docs/DIAGNOSE_PROMPT_OPACITY_ENFORCEMENT.md,DIAGNOSE_PROMPT_OPACITY_ENFORCEMENT.md,768,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DOCS_AUDIT_2026-05-26.md,DOCS_AUDIT_2026-05-26.md,15375,PER_AUDIT_DATED,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/EVIDENCE_INDEX.md,EVIDENCE_INDEX.md,76400,FOUNDATION,2,,0,scripts/determinex_cli.py;scripts/evidence_index.py,2,,0,,0,KEEP
docs/FRONTEND_APPROVAL_PACKET_ROUNDTRIP.md,FRONTEND_APPROVAL_PACKET_ROUNDTRIP.md,1006,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_COMMAND_INVOKE_CLIENT.md,FRONTEND_COMMAND_INVOKE_CLIENT.md,535,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_DIAGNOSE_AND_PATCH_PLAN_FLOW.md,FRONTEND_DIAGNOSE_AND_PATCH_PLAN_FLOW.md,324,PER_TRACE_FLOW,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_END_TO_END_REPAIR_FLOW_SMOKE.md,FRONTEND_END_TO_END_REPAIR_FLOW_SMOKE.md,817,PER_TRACE_FLOW,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_EVIDENCE_VIEWER.md,FRONTEND_EVIDENCE_VIEWER.md,276,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_HUMAN_APPROVAL_PANEL.md,FRONTEND_HUMAN_APPROVAL_PANEL.md,363,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_LIVE_DIAGNOSE_OPT_IN_SMOKE.md,FRONTEND_LIVE_DIAGNOSE_OPT_IN_SMOKE.md,586,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_MODEL_ROUTE_PANEL.md,FRONTEND_MODEL_ROUTE_PANEL.md,246,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/FRONTEND_PANEL_COMMAND_WIRING.md,FRONTEND_PANEL_COMMAND_WIRING.md,974,PER_FRONTEND,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
